price,dist_from_cent
45290,.082921736
63653,.063459121
32875,.15008424
33487,.15760934
43524,.21737
45573,.051321037
80292,.043461338
59351,.074614756
20718,.29700753
18347,.29842964
41002,.10068417
74003,.087693639
73755,.087693639
59771,.064138308
23530,.29405773
51911,.2245754
17935,.33668819
146161,.044725332
28682,.1568592
52656,.05813098
92225,.072772235
34588,.32053041
26875,.1946363
21130,.17341021
37494,.10664091
24776,.18786727
27059,.16160578
47514,.20682298
49974,.06039314
50051,.094012484
100528,.10339965
23475,.29842964
71705,.051739134
61539,.065739952
32323,.13018
38076,.12854144
22576,.13453241
20936,.19198975
125317,.099594012
95048,.023798088
88316,.051161315
34276,.14720367
17445,.13510063
33523,.18060772
88744,.083816677
65588,.15416728
39257,.08410491
30827,.22253333
18966,.13453241
24880,.18136118
22038,.23293982
25620,.13310117
86184,.098538488
66284,.084807605
48149,.12933099
31177,.24685548
43384,.10281185
49232,.10222199
42799,.13870075
44488,.14332104
42136,.1843998
46042,.12842344
77595,.032404523
19283,.25519142
37713,.1986689
19824,.22280946
41764,.11812858
30000,.33514911
67941,.07846304
43573,.10068417
39200,.1314498
66848,.091795541
56383,.11057125
41628,.11889132
40304,.14368862
34297,.17899558
16461,.20479365
44506,.15605947
33871,.076489292
58477,.037740838
65744,.047927722
51058,.21575999
31635,.29247832
20183,.34890819
64867,.039472278
31963,.052881215
30800,.28076428
17278,.18026124
37742,.096790783
43104,.053808015
44135,.1189234
76179,.043039944
37503,.12494363
43158,.21463104
29086,.21322438
47178,.11502985
105981,.04291204
42589,.064554743
71506,.10393148
37349,.33082056
67284,.066626117
35167,.11502985
91716,.063896708
52543,.12316986
31987,.15129079
21868,.20038997
33607,.22796813
82870,.033132866
36336,.23193672
23894,.22280946
54645,.10765718
87034,.071900271
39770,.11502985
45004,.10162313
68097,.036243632
40099,.18886428
46241,.079534568
25958,.33270699
20113,.12282129
44445,.071655281
38337,.17859125
30797,.25519142
77778,.044394314
34260,.3283602
79602,.065841213
42104,.065594792
30280,.18786727
26431,.29842964
22000,.14804795
73929,.088258222
44008,.064554743
37961,.13877653
38057,.072648779
65657,.038157333
51092,.17140056
61075,.037697632
25000,.075226039
65385,.043039944
42464,.18699877
37289,.089337543
37324,.077257745
40649,.094363473
31115,.088034682
58912,.080181547
15517,.26289675
19949,.20015919
73263,.074218437
61053,.043386851
21429,.31654406
52101,.087118909
51585,.057021286
42750,.10920221
24195,.14872439
49578,.039161712
20724,.32913849
20752,.2805694
54616,.054588798
45810,.051321037
83841,.031325493
53234,.060914665
41428,.34348363
28777,.22253333
63077,.076962762
22860,.14872439
67276,.026166156
41693,.093828991
23657,.2190299
26342,.34348363
31637,.1946363
21800,.13453241
69414,.023034966
16230,.29700753
24412,.23293982
59570,.055403035
35000,.12454022
42748,.16498174
94408,.096069582
52050,.054151725
61284,.087419979
60527,.11929975
43990,.059670374
28446,.34211978
15493,.29700753
68595,.051817618
20601,.14872439
43364,.058838267
21429,.32141125
103499,.02464826
35588,.17558661
94359,.05185144
29487,.25472677
61147,.060692877
18706,.35616055
30385,.042014934
98097,.075365804
97657,.015565809
92891,.083207011
29275,.25472677
33038,.14464299
21139,.18026124
73105,.051317289
32285,.19848308
43110,.075242653
37498,.094574064
52974,.045753937
51656,.11102022
39916,.062023208
68386,.057021286
89374,.097558416
90000,.083463661
47761,.062963307
32811,.14983308
73983,.064501643
37302,.11059371
64103,.11539485
24924,.16254599
43228,.091546275
93423,.050529703
29887,.28076428
60647,.10652509
18861,.32913849
25000,.16031712
29776,.27622882
26464,.19472161
35477,.18303619
53125,.097299367
97737,.03959782
48354,.14357051
71549,.065991797
43219,.16160578
42034,.072302967
42901,.089312807
40082,.1314498
17157,.21604897
40289,.17699479
58401,.074575633
59524,.087603591
26992,.14872439
27321,.17720029
51457,.15140198
97906,.10728478
39151,.041547667
67948,.080089003
45685,.2245754
90500,.075483873
79840,.11848729
29885,.13578226
31967,.25519142
29542,.25331134
30802,.060822424
46884,.11032974
48046,.086008772
54331,.13380359
39980,.10520025
76306,.12851802
57646,.096918561
56750,.089741126
25359,.22753103
68182,.083463661
50555,.13638629
74166,.046388898
49146,.16461678
57597,.063011646
42234,.17276537
46392,.10721355
26605,.18195669
46534,.11502985
45224,.063365862
53572,.053274862
28966,.27705938
56152,.038157333
66619,.12236609
43359,.20838125
57309,.032043774
37840,.17353821
42672,.063365862
33874,.19501176
33122,.20479365
16954,.13285594
31688,.074211366
28291,.14983308
19773,.15091115
44807,.087916009
37489,.1508549
29000,.14804795
48944,.086977795
32485,.16953559
